url,sha256,bytes,server_date,capture_date,note
https://lojban.org/files/history/BNF.28,29f0363c3e6f426234a0a42d4246e2d1d436f94d0d85a9af73a4a8958b1b6648,7493,,,Official LLG grammar history file; date comes from its own header. Commit author: Logical Language Group <llg@lojban.org>. Projected text normalizes CRLF to LF.
https://lojban.org/files/history/GRAMMAR.28,98bd9fc36e498ef210b0b1f0684d153864b3e3843042c81737ff8ffd8ced640e,66149,,,Official LLG grammar history file; date comes from its own header. Commit author: Logical Language Group <llg@lojban.org>. Projected text normalizes CRLF to LF.
https://lojban.org/files/history/GRAMMAR.506,c7a20623a9da27dffdd5ae523d8c0627ec56961888fa69885557d6acc6bf871f,67217,,,Official LLG grammar history file; date comes from its own header. Commit author: Logical Language Group <llg@lojban.org>. Projected text normalizes CRLF to LF.
https://lojban.org/files/history/GRAMMAR.B17,28b9bc3069325d577a4b7f25278cdb97faa42c4c22250c0c05655d59b0aa5f08,71187,,,Official LLG grammar history file; date comes from its own header. Commit author: Logical Language Group <llg@lojban.org>. Projected text normalizes CRLF to LF.
https://lojban.org/files/history/GRAMMAR.E25,f73e707847faccb83f9b6b681bc2fdb3081e242a2ecf7e752ce736507023bfe6,61721,,,Official LLG grammar history file; date comes from its own header. Commit author: Logical Language Group <llg@lojban.org>. Projected text normalizes CRLF to LF.
https://lojban.org/files/history/GRAMMAR.L23,344ebbbabf80d7032e6751feb8ba06e62221eb4b34635a8755beae210ad5a113,67682,,,Official LLG grammar history file; date comes from its own header. Commit author: Logical Language Group <llg@lojban.org>. Projected text normalizes CRLF to LF.
https://lojban.org/files/history/GRAMMAR.NEW,6e543521e2a056750c30f6be2673002cfac4e848f4aac8193b7baf22490d552b,69501,,,Official LLG grammar history file; date comes from its own header. Commit author: Logical Language Group <llg@lojban.org>. Projected text normalizes CRLF to LF.
https://lojban.org/files/history/techfix.28,bc01c680fd97de6c0ffd618d31c897374527ef3df5f95483ee72ea87b8f311f2,17306,,,Official LLG grammar history file; date comes from its own header. Commit author: Logical Language Group <llg@lojban.org>. Projected text normalizes CRLF to LF.
https://lojban.org/publications/formal-grammars/PD,9fb2ae1345252ba30999523a0980e1ae69795f5940d2fd9cea8a56c67be18a55,1023,,,Official third-baseline companion file; grammar.300 stays in cll/src. Commit author: Logical Language Group <llg@lojban.org>. Projected text normalizes CRLF to LF.
https://lojban.org/publications/formal-grammars/bnf.300,5184c36a3f2618f583016bc412a66dc6d3669e186133d1966ca4fd62b798ce2c,8259,,,Official third-baseline companion file; grammar.300 stays in cll/src. Commit author: Logical Language Group <llg@lojban.org>. Projected text normalizes CRLF to LF.
https://lojban.org/publications/formal-grammars/techfix.300,c8ed9bb23500110f8622822a69c33e361b5f062cfd6ea436e52a95c2b88fa41d,54386,,,Official third-baseline companion file; grammar.300 stays in cll/src. Commit author: Logical Language Group <llg@lojban.org>. Projected text normalizes CRLF to LF.
https://lojban.org/publications/formal-grammars/xref.300,9e65ca4eb48096abce829787c520aa066d018366e6e6946c8495800f3349a565,25769,,,Official third-baseline companion file; grammar.300 stays in cll/src. Commit author: Logical Language Group <llg@lojban.org>. Projected text normalizes CRLF to LF.
https://web.archive.org/web/19991009145051id_/http://www.lojban.org/files/machine-grammars/bnf.246,158bbee61947e579dec0c8ffaa8cb04aa7bfc9b5bf5a72f0907fa1bc41b7341e,8835,,1999-10-09,Wayback capture; file header supplies the source date. Commit author: Logical Language Group <llg@lojban.org>. Projected text normalizes CRLF to LF.
https://web.archive.org/web/19991009171117id_/http://www.lojban.org/files/machine-grammars/bnf.247,e98459f1269b6791450310bca36058e275d24f1d6d831786de1d53d764bb7e06,8664,,1999-10-09,Wayback capture; file header supplies the source date. Commit author: Logical Language Group <llg@lojban.org>. Projected text normalizes CRLF to LF.
https://web.archive.org/web/19991009221736id_/http://www.lojban.org/files/machine-grammars/techfix.235,5ce8a4627a2d1dae6e4820204fbdf61a94ef00e10834d40be2204fa28f2293ef,42989,,1999-10-09,Wayback capture; file header supplies the source date. Commit author: Logical Language Group <llg@lojban.org>. Projected text normalizes CRLF to LF.
https://web.archive.org/web/19991104072233id_/http://www.lojban.org/files/machine-grammars/bnf.235,106154a75ea945e782ca89c149140462f05eb6f97fa8e20e02319e83f66104e2,8360,,1999-11-04,Wayback capture; file header supplies the source date. Commit author: Logical Language Group <llg@lojban.org>. Projected text normalizes CRLF to LF.
https://web.archive.org/web/19991104095552id_/http://www.lojban.org/files/machine-grammars/bnf.28,9a6f5e9843b28712c133a5b59620886a74f91d13c7cccfbd5888fcf35b38f207,7872,,1999-11-04,Wayback capture of the restamped second-baseline BNF. Commit author: Logical Language Group <llg@lojban.org>. Projected text normalizes CRLF to LF.
