# irc #jbosnu 2010-06-30 tz=unknown source=jbosnu/2010_06/2010_06_30-02_21.txt format=undated
--:--:-- -- Connected.
--:--:-- <anthony.freenode.net> *** Notice -- TS for #jbosnu changed from 1277803293 to 1264760553
--:--:-- -- ChanServ has joined.
--:--:-- -- ChanServ has left the channel.
--:--:-- -- tomoj` is now known as tomoj.
--:--:-- -- timonator is now known as zargun.
--:--:-- -- cirzgamanti`` is now known as cirzgamanti.
--:--:-- -- hk is now known as hk|asleep.
--:--:-- -- chainsaw_yum is now known as chainsaw_nap.
--:--:-- -- Hugglesworth is now known as lorx.
--:--:-- -- lorx is now known as Hugglesworth.
--:--:-- -- chainsaw_nap is now known as chainsaw_yum.
--:--:-- -- tomys is now known as tomys-cant-figur.
--:--:-- -- tomys-cant-figur is now known as tomys.
